country,country_slug,category_cluster,page_slug,url,brand_count,active_count,lead_brands,status
Argentina,argentina,frozen prepared meals,best-frozen-meal-delivery,/countries/argentina/best-frozen-meal-delivery/,1,1,Frizata,generated
Argentina,argentina,prepared meals,best-prepared-meal-delivery,/countries/argentina/best-prepared-meal-delivery/,1,1,Viandas Cook,generated
Australia,australia,diet prepared meals | diet meals | senior and diet meals,best-diet-meal-delivery,/countries/australia/best-diet-meal-delivery/,8,6,Lite n' Easy | Tender Loving Cuisine | Be Fit Food | Dietlicious | Foober,generated
Australia,australia,frozen family meals | frozen prepared meals,best-frozen-meal-delivery,/countries/australia/best-frozen-meal-delivery/,2,2,The Dinner Ladies | Delidoor,generated
Australia,australia,fitness prepared meals | high protein prepared meals | high protein meal prep,best-high-protein-meal-prep,/countries/australia/best-high-protein-meal-prep/,6,6,My Muscle Chef | Core Powerfoods | Muscle Meals Direct | Workout Meals | Aussie Muscle Meals,generated
Australia,australia,meal kit,best-meal-kits,/countries/australia/best-meal-kits/,8,1,HelloFresh Australia | Marley Spoon Australia | Dinner Twist | My Foodie Box | Pepper Leaf,generated
Australia,australia,prepared meals | plant-based prepared meals | macro prepared meals | prepared add-ons,best-prepared-meal-delivery,/countries/australia/best-prepared-meal-delivery/,48,14,Youfoodz | Chefgood | Lite n Easy | Macros | Soulara,generated
Australia,australia,budget meal kit,cheap-meal-delivery,/countries/australia/cheap-meal-delivery/,2,0,Dinnerly Australia | EveryPlate Australia,generated
Austria,austria,high protein prepared meals,best-high-protein-meal-prep,/countries/austria/best-high-protein-meal-prep/,2,2,Löwenanteil | prepmymeal,generated
Austria,austria,meal kit,best-meal-kits,/countries/austria/best-meal-kits/,2,2,HelloFresh | Marley Spoon,generated
Bahrain,bahrain,diet prepared meals,best-diet-meal-delivery,/countries/bahrain/best-diet-meal-delivery/,1,1,Right Calories Bahrain,generated
Bahrain,bahrain,prepared meals,best-prepared-meal-delivery,/countries/bahrain/best-prepared-meal-delivery/,2,2,Calo Bahrain | Honestly Foods,generated
Belgium,belgium,diet prepared meals,best-diet-meal-delivery,/countries/belgium/best-diet-meal-delivery/,1,1,Oh My Guts,generated
Belgium,belgium,meal kit | meal kit and ready meals | retail meal kit,best-meal-kits,/countries/belgium/best-meal-kits/,6,6,Foodbag | HelloFresh | Marley Spoon | 15gram | Smartmat,generated
Belgium,belgium,prepared meals,best-prepared-meal-delivery,/countries/belgium/best-prepared-meal-delivery/,2,2,Factor | Foodmaker,generated
Brazil,brazil,diet prepared meals,best-diet-meal-delivery,/countries/brazil/best-diet-meal-delivery/,2,2,Keep Light | Pronto Light,generated
Brazil,brazil,frozen prepared meals | plant-based frozen meals | frozen meals,best-frozen-meal-delivery,/countries/brazil/best-frozen-meal-delivery/,3,3,Liv Up | Beleaf | Congelados da Sônia,generated
Brazil,brazil,high protein meal prep,best-high-protein-meal-prep,/countries/brazil/best-high-protein-meal-prep/,1,1,Marmita Fitness Brasil,generated
Brazil,brazil,prepared meals,best-prepared-meal-delivery,/countries/brazil/best-prepared-meal-delivery/,2,2,Chef Bob | Green Table,generated
Bulgaria,bulgaria,diet prepared meals,best-diet-meal-delivery,/countries/bulgaria/best-diet-meal-delivery/,1,1,Fit Panther,generated
Canada,canada,diet prepared meals,best-diet-meal-delivery,/countries/canada/best-diet-meal-delivery/,1,1,One Life Meals,generated
Canada,canada,frozen meals | frozen senior meals | frozen prepared meals,best-frozen-meal-delivery,/countries/canada/best-frozen-meal-delivery/,6,5,Heart to Home Meals | M&M Food Market | Heart to Home Meals Alberta | Heart to Home Meals Ontario | Spatula Foods,generated
Canada,canada,grocery dinner delivery,best-grocery-dinner-delivery,/countries/canada/best-grocery-dinner-delivery/,2,2,Mama Earth | Spud,generated
Canada,canada,high protein meal prep,best-high-protein-meal-prep,/countries/canada/best-high-protein-meal-prep/,5,5,Athlete's Kitchen | Power Kitchen | Athletes Kitchen | Power Kitchen Canada Toronto | Protein Chefs,generated
Canada,canada,meal kit | meal kit and prepared meals | plant-based meal kit | meal kit add-ons,best-meal-kits,/countries/canada/best-meal-kits/,12,8,Chefs Plate | Goodfood | HelloFresh Canada | Chef's Plate | Cook it,generated
Canada,canada,prepared meals | smoothies and prepared foods | plant-based prepared meals | ready-to-eat salads and bowls,best-prepared-meal-delivery,/countries/canada/best-prepared-meal-delivery/,45,20,CookUnity Canada | Factor Canada | Factor Meals Canada | LiveFit Foods | OTR Meals,generated
Canada,canada,protein box,best-protein-box,/countries/canada/best-protein-box/,1,0,truLOCAL,generated
Chile,chile,diet prepared meals,best-diet-meal-delivery,/countries/chile/best-diet-meal-delivery/,2,2,FitFood Chile | Plan Nutritivo,generated
Chile,chile,prepared meals,best-prepared-meal-delivery,/countries/chile/best-prepared-meal-delivery/,2,2,La Specialite | MyWay,generated
Colombia,colombia,diet prepared meals,best-diet-meal-delivery,/countries/colombia/best-diet-meal-delivery/,2,2,Manzana Verde Colombia | Meal Prep Consciente,generated
Colombia,colombia,prepared meals | prepared lunches,best-prepared-meal-delivery,/countries/colombia/best-prepared-meal-delivery/,3,3,Foody Colombia | Mingu | Como en Casa Bogota,generated
Croatia,croatia,diet prepared meals,best-diet-meal-delivery,/countries/croatia/best-diet-meal-delivery/,1,1,LightFork,generated
Cyprus,cyprus,diet prepared meals,best-diet-meal-delivery,/countries/cyprus/best-diet-meal-delivery/,3,3,Healthy Meals Cyprus | HealthyBox Cyprus | FamilyChef Cyprus,generated
Cyprus,cyprus,kids and family meal plans,best-kids-meal-delivery,/countries/cyprus/best-kids-meal-delivery/,1,1,Family Kitchen Cyprus,generated
Cyprus,cyprus,prepared meals,best-prepared-meal-delivery,/countries/cyprus/best-prepared-meal-delivery/,2,2,Ofelimon | Milts Food,generated
Czech Republic,czech-republic,diet prepared meals,best-diet-meal-delivery,/countries/czech-republic/best-diet-meal-delivery/,8,8,Yes Krabicky | Zdrave Stravovani | Zdravé stravování | FitKitchen Czech Republic | Nutric Bistro,generated
Denmark,denmark,meal kit,best-meal-kits,/countries/denmark/best-meal-kits/,4,4,HelloFresh | HelloFresh Denmark | RetNemt | Skagenfood,generated
Denmark,denmark,organic meal kit,best-organic-meal-kits,/countries/denmark/best-organic-meal-kits/,1,1,Aarstiderne,generated
Egypt,egypt,diet prepared meals,best-diet-meal-delivery,/countries/egypt/best-diet-meal-delivery/,3,3,Diet Hub Egypt | Diet to Door Egypt | Calories Egypt,generated
Egypt,egypt,high protein meal prep,best-high-protein-meal-prep,/countries/egypt/best-high-protein-meal-prep/,1,1,Protein Box Egypt,generated
Egypt,egypt,meal kit,best-meal-kits,/countries/egypt/best-meal-kits/,1,1,Chef Box Egypt,generated
Estonia,estonia,diet prepared meals,best-diet-meal-delivery,/countries/estonia/best-diet-meal-delivery/,3,3,HealthyFood Tallinn | SmartFOOD Estonia | MealPrep Baltic Estonia,generated
Estonia,estonia,high protein meal prep,best-high-protein-meal-prep,/countries/estonia/best-high-protein-meal-prep/,1,1,EasyEats Estonia,generated
Europe,europe,complete nutrition meal replacement,best-complete-nutrition-meal-replacement,/countries/europe/best-complete-nutrition-meal-replacement/,7,7,Mana | yfood | Bertrand | Jake | Queal,generated
Finland,finland,frozen prepared meals,best-frozen-meal-delivery,/countries/finland/best-frozen-meal-delivery/,1,1,Menumat,generated
Finland,finland,meal kit,best-meal-kits,/countries/finland/best-meal-kits/,1,1,Ruokaboksi,generated
